[15-12-2015 19:38:58]: Pluz. hat Bonus mit Waffe 30 an Part 7 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:22]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:22]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:23]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:24]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:24]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:24]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:24]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:24]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:25]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:39:27]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 8
[15-12-2015 19:41:50]: Bonus hat Pluz. mit Waffe 30 an Part 6 getroffen, Schaden: 9.9000006
[15-12-2015 19:41:50]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:41:50]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:41:51]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:41:52]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[15-12-2015 19:41:53]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[15-12-2015 19:41:53]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[15-12-2015 19:41:54]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[15-12-2015 19:41:54]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[15-12-2015 19:41:55]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[15-12-2015 19:41:56]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[15-12-2015 19:41:56]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
